"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"3679","Republican","Graduate Degree","White",TRUE,"Male",60,15,60,0,70,0,100,10,70,50,40,60,10,50,60,50,50,65,65,70,70,100,65,60,85,60,0,40,70,70,10,70,70,75,80,85
"3680","Republican","Graduate Degree","White",FALSE,"Male",0,100,0,85,0,90,15,85,15,0,15,85,100,80,30,30,0,100,70,85,30,60,0,15,85,0,100,0,100,60,100,0,85,0,15,30
"3681","Democrat","High School","White",FALSE,"Female",85,50,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3682","Democrat",NA,"White",TRUE,"Female",100,30,10,15,100,30,100,60,85,85,85,60,70,60,85,70,85,85,85,85,85,100,70,70,85,85,70,80,60,NA,60,NA,70,85,60,85
"3683","Democrat","Graduate Degree","White",TRUE,"Female",70,15,85,0,95,0,95,0,70,85,40,40,40,85,85,30,60,70,80,80,70,90,85,85,100,100,0,40,85,90,15,85,85,85,100,95
"3684","Democrat","High School","White",TRUE,"Male",25,0,35,0,40,0,60,10,100,60,79,12,10,30,100,30,90,45,90,15,100,90,95,82,NA,33,0,96,5,25,0,90,60,95,76,40
"3685","Republican","Some College","White",TRUE,"Female",100,85,60,30,100,0,50,50,100,50,100,100,50,80,100,100,80,80,100,100,100,100,100,100,NA,100,80,NA,NA,100,30,100,NA,100,NA,80
"3686","Democrat","Bachelor's Degree","Black",TRUE,"Male",30,40,15,30,30,40,100,30,45,20,0,50,70,95,50,40,50,45,85,85,10,95,25,5,50,50,70,0,90,60,85,10,90,80,80,80
"3687","Democrat","Graduate Degree","Other",TRUE,"Female",85,15,100,0,85,0,85,40,85,70,85,30,40,40,60,85,60,60,85,60,60,85,100,85,50,70,15,60,70,60,15,100,50,60,70,70
"3688","Republican","Some College","White",TRUE,"Male",0,100,0,100,0,100,85,50,85,30,50,50,100,70,50,70,40,70,50,100,30,100,15,50,70,50,100,0,0,70,85,100,100,15,60,70
"3689","Democrat","Bachelor's Degree","Hispanic",TRUE,"Male",85,30,70,0,100,0,90,50,85,70,70,30,0,15,85,50,50,50,85,30,60,90,85,85,50,60,40,50,40,85,15,NA,50,70,90,90
"3690","Democrat","Graduate Degree","White",TRUE,"Female",75,35,80,0,95,0,100,50,85,95,20,55,45,94,98,55,95,95,98,93,96,95,95,60,65,75,5,50,50,85,30,90,95,98,90,75
"3691","Republican","High School","White",TRUE,"Female",0,70,0,85,0,100,15,50,50,15,15,50,50,50,50,30,50,50,50,100,50,50,0,15,50,50,50,0,50,70,100,0,50,0,50,70
"3692","Republican","Some College","White",TRUE,"Female",50,50,30,70,40,60,50,50,50,50,50,60,50,50,50,40,50,NA,50,100,50,70,50,0,70,50,60,50,50,60,50,50,50,50,50,70
"3693","Democrat","Graduate Degree","White",TRUE,"Female",50,50,85,5,60,35,85,50,85,55,100,50,40,70,50,40,50,50,70,65,50,100,55,60,50,85,20,50,60,75,35,70,65,100,100,100
"3694","Independent","Bachelor's Degree","White",FALSE,"Male",50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,NA,50,50,50,50,50,50,50
"3695","Republican","High School","Hispanic",FALSE,"Female",100,100,85,100,70,50,50,0,50,60,85,100,0,100,0,50,50,50,0,0,60,0,50,50,50,0,0,0,50,0,0,0,40,0,40,40
"3696","Democrat","Graduate Degree","Black",TRUE,"Female",100,30,100,0,60,0,50,100,40,50,30,20,20,0,100,50,50,20,80,20,50,100,100,30,NA,50,20,0,30,50,50,NA,20,100,30,100
"3697","Republican","Some College","White",FALSE,"Male",0,100,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3698","Democrat","High School","Black",FALSE,"Male",100,30,100,0,100,0,40,30,60,50,50,40,30,70,40,50,60,50,30,15,40,85,100,15,50,70,40,15,30,15,50,60,40,50,50,80
"3699","Republican","Bachelor's Degree","White",TRUE,"Male",30,60,60,40,60,40,85,70,70,60,50,70,85,85,85,60,70,100,85,70,60,85,60,40,85,40,60,70,85,70,70,70,85,70,60,85
"3700","Democrat","Graduate Degree","White",TRUE,"Male",70,15,85,0,85,0,100,85,85,60,50,85,70,100,70,70,70,100,85,100,60,85,60,70,70,85,30,30,60,100,50,100,85,85,50,70
"3701","Democrat","Bachelor's Degree","White",TRUE,"Male",15,0,15,0,75,0,80,10,65,75,60,30,10,50,80,50,50,50,85,35,70,85,75,75,50,70,10,50,40,50,10,70,35,75,75,80
