"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"1181","Republican","Some College","White",FALSE,"Male",10,60,0,80,0,60,50,50,0,30,50,60,60,50,30,50,50,70,50,100,0,60,30,0,NA,NA,100,30,50,50,50,50,100,40,NA,0
"1182","Republican","High School","White",TRUE,"Male",0,70,0,100,0,100,0,70,50,NA,50,70,90,70,50,50,15,90,80,90,50,80,0,5,20,80,80,NA,70,60,90,50,90,10,70,20
"1183","Republican","High School","White",TRUE,"Male",0,60,0,85,40,60,100,70,70,40,40,0,70,85,50,30,60,100,100,100,50,100,60,0,85,50,100,15,60,50,70,70,100,0,70,85
"1184","Democrat","Bachelor's Degree","White",TRUE,"Female",85,15,70,0,100,0,60,30,70,85,85,15,40,60,100,50,50,60,100,60,60,100,70,85,50,50,40,70,30,50,15,NA,30,50,40,70
"1185","Democrat","High School","White",TRUE,"Female",85,15,100,0,85,0,100,50,70,50,60,40,50,60,90,70,50,50,50,80,75,80,70,75,50,80,25,50,NA,80,40,40,NA,70,85,85
"1186","Independent","High School","Hispanic",FALSE,"Male",0,0,15,60,16,30,100,100,0,0,0,40,100,85,100,0,70,100,100,70,70,86,0,40,0,0,50,0,60,85,0,0,85,0,0,50
"1187","Independent","Bachelor's Degree","Black",TRUE,"Female",50,50,70,60,50,15,0,100,100,0,100,0,0,60,100,60,100,100,100,100,100,100,100,70,85,60,100,60,15,85,50,NA,NA,85,60,60
"1188","Republican","Graduate Degree","Asian",TRUE,"Female",0,85,15,100,0,100,5,80,75,5,50,25,90,85,15,50,10,85,70,95,10,90,0,NA,80,0,80,0,85,50,90,20,85,0,0,10
"1189","Democrat","Bachelor's Degree","Other",TRUE,"Female",85,30,85,15,100,0,75,90,75,100,95,50,40,60,90,70,90,90,90,100,85,85,90,60,75,90,15,40,0,60,75,100,NA,85,85,85
"1190","Independent","Some College","White",FALSE,"Male",40,40,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191","Democrat","Bachelor's Degree","White",TRUE,"Female",70,30,85,0,100,15,100,15,85,40,40,60,60,60,60,15,40,85,70,70,30,70,85,70,85,60,30,40,70,70,40,85,50,60,85,85
"1192","Republican","Some College","White",FALSE,"Male",0,70,15,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193","Democrat","Less than High School","Black",TRUE,"Male",100,0,100,0,100,0,85,85,0,0,70,85,70,0,70,0,85,100,70,70,70,70,100,0,50,0,NA,50,50,50,0,100,NA,100,85,100
"1194","Republican","Bachelor's Degree","White",TRUE,"Female",15,70,15,75,30,70,50,90,60,50,50,50,40,15,100,15,50,100,50,60,100,70,60,50,NA,50,NA,50,50,50,50,100,NA,15,40,40
"1195","Republican","Bachelor's Degree","Other",TRUE,"Female",0,40,15,85,15,85,55,60,0,40,55,25,80,65,75,5,60,75,80,55,50,65,0,5,45,10,75,0,70,55,75,0,100,45,10,60
"1196","Republican","Some College","Hispanic",FALSE,"Male",20,70,0,100,65,75,65,75,40,40,90,40,75,70,0,60,50,98,90,65,3,90,30,30,15,75,75,45,25,25,50,5,70,3,60,40
"1197","Democrat","Some College","White",TRUE,"Female",70,10,75,0,85,0,85,15,70,70,70,40,40,40,85,30,60,60,85,85,80,85,50,85,70,70,15,50,60,80,40,75,85,75,75,75
"1198","Independent","High School","White",FALSE,"Male",0,0,0,0,50,0,0,0,100,100,100,0,0,0,100,0,100,0,0,0,100,100,100,100,25,100,0,0,50,100,0,100,100,100,100,100
"1199","Republican",NA,"White",FALSE,"Female",0,75,9,100,0,100,30,100,50,0,50,40,100,70,50,5,50,100,100,100,50,100,0,10,50,0,100,0,90,40,100,50,100,0,10,0
"1200","Republican","High School","White",TRUE,"Female",0,85,15,100,0,100,40,85,0,0,40,50,100,85,0,70,40,100,50,100,0,50,0,15,50,50,100,0,NA,60,50,NA,100,0,NA,NA
"1201","Republican","Bachelor's Degree","Hispanic",FALSE,"Male",0,97,0,95,5,95,40,80,50,10,50,80,95,60,40,20,40,95,80,95,10,50,0,30,50,50,80,10,60,50,90,15,90,5,30,50
"1202","Republican","Bachelor's Degree","White",TRUE,"Male",30,85,15,70,15,60,40,30,15,25,20,65,80,90,40,40,0,100,75,100,0,60,0,5,50,40,80,0,80,50,NA,10,95,0,0,20
"1203","Republican","High School","Hispanic",TRUE,"Male",30,85,40,85,30,100,100,50,50,50,70,85,50,100,50,100,50,85,50,85,50,100,50,85,70,85,85,15,100,100,50,NA,NA,NA,85,85
"1204","Republican","Some College","White",TRUE,"Male",0,70,0,100,0,100,40,NA,40,60,85,70,85,70,70,15,70,85,85,100,70,85,0,0,85,40,85,0,85,30,85,50,85,0,0,60
"1205","Republican","Bachelor's Degree","White",TRUE,"Male",0,30,30,70,15,70,30,40,50,30,40,60,70,60,70,30,60,85,70,85,70,70,40,0,60,40,70,30,70,0,60,50,85,50,60,40
"1206","Republican","Bachelor's Degree","White",TRUE,"Male",15,85,15,85,30,85,70,70,30,0,30,60,100,85,50,15,50,100,50,100,50,85,40,40,40,40,85,15,50,85,60,40,100,30,40,85
"1207","Democrat","High School","White",TRUE,"Female",85,40,50,0,60,0,100,70,50,85,85,0,50,50,100,50,50,70,50,40,100,100,50,50,70,70,85,50,50,50,50,NA,100,100,50,70
"1208","Republican","Some College","White",FALSE,"Male",0,100,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209","Independent","High School","White",TRUE,"Female",50,60,70,40,85,0,100,50,70,70,50,50,70,60,70,60,70,100,80,85,70,70,70,70,50,50,40,50,50,60,40,60,NA,60,60,70
"1210","Democrat","Bachelor's Degree","Other",TRUE,"Female",40,15,15,0,40,0,85,0,85,60,100,0,0,40,100,48,60,30,60,0,70,100,85,70,85,85,0,100,0,85,0,60,0,100,70,85
"1211","Democrat","Bachelor's Degree","Hispanic",TRUE,"Male",50,10,70,5,60,0,90,0,90,70,90,35,15,45,100,40,75,40,100,25,100,100,100,85,35,40,10,85,20,55,10,100,55,100,70,75
"1212","Republican","High School","Native American",TRUE,"Female",NA,NA,NA,NA,0,100,50,100,0,0,0,50,100,100,50,0,100,100,100,100,50,60,0,0,50,0,100,0,100,0,100,75,100,0,0,50
"1213","Republican","Bachelor's Degree","White",TRUE,"Female",30,70,0,NA,0,100,0,50,70,30,50,50,85,50,50,50,50,100,50,100,50,50,40,40,50,50,60,30,50,50,50,50,100,15,40,40
"1214","Democrat","Bachelor's Degree","White",TRUE,"Male",60,50,70,15,70,45,85,30,70,70,50,60,50,70,100,60,50,40,70,85,70,100,70,70,60,85,NA,50,70,70,50,50,70,85,100,85
"1215","Republican","Some College","White",FALSE,"Female",0,85,40,100,0,100,70,100,0,0,0,30,100,85,0,85,0,85,100,100,0,100,0,15,60,0,100,0,100,40,85,15,85,0,40,50
"1216","Republican","Some College","White",TRUE,"Female",0,85,0,100,0,100,60,85,85,15,50,15,100,50,60,60,70,100,60,100,15,85,15,50,NA,60,60,15,40,70,50,50,100,0,15,50
"1217","Democrat","Some College","Hispanic",TRUE,"Female",60,50,60,15,85,0,100,100,70,60,60,40,70,70,70,70,60,100,100,85,70,100,85,85,100,85,85,0,50,70,30,50,60,15,100,85
"1218","Democrat","Graduate Degree","White",TRUE,"Female",50,0,70,0,70,0,70,0,50,60,50,50,50,60,60,15,50,50,60,50,60,85,70,70,50,60,0,40,60,60,50,60,50,60,70,60
"1219","Democrat","Bachelor's Degree","White",TRUE,"Male",70,0,85,0,100,0,100,60,100,85,85,70,30,60,100,70,85,60,85,85,85,100,85,100,100,85,30,70,85,85,40,85,NA,100,85,100
"1220","Republican","Bachelor's Degree","White",FALSE,"Female",30,70,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1221","Democrat","Graduate Degree","Black",TRUE,"Female",85,0,85,0,100,0,70,40,100,100,70,50,50,40,100,60,100,40,100,70,100,100,100,60,88,100,40,88,50,50,40,88,70,100,100,88
"1222","Republican","Graduate Degree","White",TRUE,"Male",30,70,70,0,85,0,100,50,50,40,15,85,60,85,85,15,30,85,85,100,50,100,50,70,70,70,15,0,100,85,50,30,85,50,85,100
"1223","Democrat","High School","Hispanic",FALSE,"Male",85,50,85,0,60,0,60,50,0,NA,NA,NA,NA,NA,NA,60,0,60,NA,NA,NA,15,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1224","Democrat","Bachelor's Degree","White",TRUE,"Female",75,0,75,0,90,0,100,0,100,80,90,20,0,40,100,35,100,20,100,10,100,100,100,95,80,80,0,50,10,85,0,90,70,100,100,90
"1225","Democrat","Some College","Black",TRUE,"Male",85,15,70,0,85,0,100,60,60,50,60,50,50,50,60,60,50,60,50,80,50,100,85,60,80,70,45,50,70,85,60,85,50,80,80,85
"1226","Democrat","Bachelor's Degree","White",TRUE,"Female",70,40,70,0,70,0,100,50,85,60,50,40,40,50,100,40,50,40,50,70,100,60,100,50,NA,50,30,50,50,50,40,85,50,85,60,60
"1227","Democrat","Bachelor's Degree","White",TRUE,"Male",60,10,90,0,80,0,100,0,80,80,70,25,15,40,100,60,50,0,100,40,80,100,50,100,80,70,0,50,30,100,30,50,30,100,90,100
"1228","Democrat","Bachelor's Degree","White",TRUE,"Male",85,15,85,0,10,0,10,50,80,80,80,60,50,70,80,40,70,80,80,10,70,80,80,10,80,100,0,40,80,70,30,80,80,80,80,80
"1229","Democrat","Bachelor's Degree",NA,FALSE,NA,70,70,50,85,50,50,50,50,50,50,50,50,50,50,0,50,50,100,50,50,0,50,50,50,50,50,50,50,50,50,50,0,50,50,50,0
"1230","Republican","High School","White",FALSE,"Female",0,85,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","Republican","High School","White",TRUE,"Female",0,85,NA,85,0,85,NA,50,50,85,50,40,0,60,70,0,50,100,50,100,50,50,0,0,NA,50,100,NA,NA,40,100,0,100,50,NA,0
"1232","Democrat","Some College","White",TRUE,"Female",70,15,85,0,70,0,100,70,85,85,85,70,70,85,85,60,85,100,100,70,85,85,85,85,70,85,15,60,70,70,15,50,85,100,85,100
"1233","Republican","High School","White",TRUE,"Male",0,70,15,85,0,70,50,50,40,10,40,75,85,60,50,1,50,50,50,90,50,60,20,10,40,10,95,1,65,30,95,7,95,65,5,75
"1234","Democrat","Bachelor's Degree","White",TRUE,"Male",60,0,85,0,85,0,100,0,85,85,85,40,40,60,85,40,70,40,85,40,85,100,100,85,85,85,30,70,85,85,15,85,60,85,85,85
"1235","Republican","Bachelor's Degree","White",TRUE,"Female",0,100,30,90,15,100,0,NA,50,0,85,60,50,60,85,15,30,60,85,NA,85,50,0,0,50,50,85,30,60,85,85,0,NA,85,15,15
"1236","Republican","Some College","White",TRUE,"Female",15,85,15,85,40,85,50,85,40,30,15,40,15,70,60,15,70,85,100,85,60,70,0,0,15,40,100,0,85,85,85,NA,85,0,85,50
"1237","Democrat","Some College","White",TRUE,"Male",40,30,60,40,85,15,70,70,70,85,70,70,85,85,60,70,85,100,85,85,60,85,40,70,80,60,90,60,60,85,90,50,99,60,85,80
"1238","Democrat","Some College","Black",FALSE,"Male",70,50,90,0,70,0,75,100,40,100,80,60,30,50,60,30,60,100,60,15,60,50,100,50,50,60,50,NA,70,50,40,50,NA,60,NA,NA
"1239","Democrat","Graduate Degree","White",FALSE,"Male",70,0,85,0,85,0,100,5,100,100,65,70,20,55,100,50,100,50,100,45,100,100,100,100,85,85,0,80,50,80,10,100,30,100,95,100
"1240","Democrat","Bachelor's Degree","Hispanic",TRUE,"Female",85,0,60,0,100,0,50,0,100,60,60,50,50,50,85,50,85,40,70,30,85,85,100,60,NA,NA,NA,NA,NA,60,0,100,NA,85,NA,85
"1241","Republican","Bachelor's Degree","White",TRUE,"Male",0,100,0,100,0,100,70,85,0,0,30,85,100,100,50,15,60,85,85,100,15,75,0,15,60,15,100,0,70,70,100,0,100,0,40,85
"1242","Democrat","High School","White",FALSE,"Male",70,30,85,NA,85,50,85,60,85,70,70,60,50,60,50,70,50,70,85,60,50,85,70,100,100,60,40,70,70,70,40,85,100,50,70,85
"1243","Democrat","Bachelor's Degree","Hispanic",TRUE,"Male",70,40,70,0,70,20,90,1,85,85,75,45,40,80,85,80,80,NA,85,85,85,95,90,80,75,75,45,80,80,80,85,95,80,85,90,90
"1244","Democrat","Graduate Degree","Hispanic",TRUE,"Male",30,15,85,0,60,0,80,0,0,30,45,60,30,30,51,30,49,51,49,40,40,100,10,100,51,60,0,20,51,10,0,0,51,55,60,60
"1245","Republican","High School","White",FALSE,"Male",15,85,NA,90,0,100,70,30,50,40,100,85,85,90,50,40,15,85,50,50,0,70,0,60,70,70,100,0,90,90,85,NA,90,100,85,80
"1246","Republican","Bachelor's Degree","White",TRUE,"Male",60,50,70,30,70,15,100,60,30,40,60,70,85,85,40,40,40,100,85,85,60,85,60,70,40,60,70,15,70,70,70,30,85,40,60,85
"1247","Democrat","Some College","White",TRUE,"Male",50,15,60,0,60,0,85,0,85,70,50,70,30,60,85,40,50,40,85,60,70,100,60,40,70,50,30,15,70,85,40,70,NA,50,85,85
"1248","Republican","Graduate Degree","White",TRUE,"Female",0,70,0,100,NA,100,50,85,50,0,50,70,100,100,50,60,50,100,60,100,50,60,0,60,50,0,100,0,100,60,50,0,100,0,0,0
"1249","Republican","Some College","White",TRUE,"Male",0,70,15,60,50,70,0,85,60,0,50,50,85,85,0,30,0,100,100,100,0,70,0,0,40,40,70,0,85,15,85,60,100,0,15,15
"1250","Democrat","Bachelor's Degree","White",TRUE,"Female",50,50,60,10,70,15,50,50,60,60,50,50,50,50,60,50,50,50,70,60,50,50,70,50,50,60,40,50,50,50,60,60,NA,60,60,60
"1251","Democrat","Some College","White",TRUE,"Female",70,0,85,0,85,NA,80,15,80,80,80,50,15,40,90,65,85,50,50,85,90,85,70,50,50,50,50,50,50,70,40,70,NA,90,70,70
"1252","Republican","Some College","White",TRUE,"Male",0,60,0,100,0,100,40,85,40,0,0,50,85,60,30,40,85,85,70,100,30,60,0,40,50,70,100,0,100,40,100,0,100,0,40,40
"1253","Republican","Some College","White",TRUE,"Male",15,100,0,100,0,100,0,100,0,0,0,70,100,50,0,60,0,100,100,100,0,80,0,0,0,0,100,0,100,80,100,0,100,0,70,85
"1254","Democrat","Bachelor's Degree","White",TRUE,"Female",60,40,70,0,100,0,85,40,60,60,70,30,60,70,70,40,70,70,70,85,50,85,60,70,70,85,0,30,60,70,60,60,60,40,70,70
"1255","Independent","High School","White",TRUE,"Male",30,30,40,50,30,50,85,40,60,60,100,30,60,60,60,0,60,60,60,15,60,60,60,30,NA,50,NA,60,50,40,30,NA,100,NA,NA,50
"1256","Republican","Graduate Degree","White",TRUE,"Female",40,30,40,0,65,0,85,0,85,40,60,40,60,50,85,50,50,50,100,85,50,85,0,50,60,50,60,0,50,50,15,60,70,85,15,50
"1257","Democrat","Some College","White",TRUE,"Female",100,0,85,0,85,0,50,0,100,100,85,0,0,70,100,50,70,0,70,15,85,85,100,100,50,70,0,85,NA,40,0,100,15,70,50,40
"1258","Democrat","Some College","White",TRUE,"Female",35,75,40,100,0,85,30,60,40,40,60,50,40,50,50,40,50,100,50,75,30,50,50,40,50,50,50,50,50,50,50,50,60,30,50,50
"1259","Democrat","High School","Asian",TRUE,"Female",70,70,60,70,69,70,55,50,50,50,85,70,85,85,45,85,0,60,30,85,50,85,0,50,NA,80,NA,58,50,60,80,85,NA,85,50,80
"1260","Republican","High School","White",TRUE,"Male",0,70,0,100,0,100,0,50,0,0,15,50,100,100,100,15,40,100,100,85,85,70,0,0,15,0,100,0,100,15,100,0,100,0,0,15
"1261","Democrat","High School","White",FALSE,"Male",80,0,85,0,95,0,90,50,80,90,82,10,0,0,100,0,85,100,100,50,100,100,0,82,58,85,0,10,0,95,0,NA,100,100,90,100
"1262","Democrat","Graduate Degree","White",TRUE,"Male",60,15,85,0,85,0,100,15,100,100,85,40,50,60,100,40,100,70,100,100,100,100,100,70,85,70,40,60,60,50,70,100,85,100,100,100
"1263","Republican","Some College","White",TRUE,"Female",50,85,40,85,30,85,15,50,50,50,50,15,50,50,100,50,50,50,50,85,100,70,85,70,NA,50,70,50,50,50,50,85,85,NA,40,70
"1264","Democrat","Some College","White",TRUE,"Female",40,60,60,40,60,40,50,30,70,70,80,55,60,50,100,50,80,86,90,85,90,85,50,40,70,76,80,NA,50,70,60,85,85,25,60,70
"1265","Democrat","Some College","White",FALSE,"Male",70,60,85,80,50,100,50,50,50,50,60,60,50,50,40,50,50,70,50,30,40,70,50,50,NA,NA,60,50,50,60,50,NA,NA,60,NA,80
"1266","Democrat","Less than High School","White",TRUE,"Male",85,0,100,0,100,0,100,85,100,100,40,60,30,60,85,30,85,100,100,85,85,100,85,85,70,85,0,0,0,85,30,85,100,NA,100,100
"1267","Democrat","Graduate Degree","White",FALSE,"Female",85,15,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268","Republican","Some College","White",FALSE,"Female",50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1269","Republican","Bachelor's Degree","White",TRUE,"Female",0,85,0,100,0,100,50,100,30,0,40,50,85,100,50,70,40,100,100,100,50,50,0,15,15,15,70,0,100,30,85,30,100,15,50,50
"1270","Democrat","Some College","White",TRUE,"Female",70,0,70,0,100,0,100,0,90,100,85,0,0,35,100,55,90,50,100,70,100,100,85,85,100,100,0,90,50,60,60,100,50,100,100,100
"1271","Democrat","Graduate Degree","Black",TRUE,"Female",85,15,100,0,85,0,100,70,60,85,60,50,50,50,85,50,100,70,85,30,85,85,85,70,70,85,0,60,NA,70,50,85,NA,NA,85,70
"1272","Republican","Bachelor's Degree","Hispanic",TRUE,"Male",0,50,30,85,50,85,50,40,40,40,40,50,60,50,50,50,50,50,50,85,50,85,0,15,50,15,60,0,60,40,100,30,100,15,50,85
"1273","Democrat","Graduate Degree","White",TRUE,"Female",85,15,85,0,85,0,100,15,70,70,50,70,15,40,70,40,70,40,70,70,85,85,70,70,85,85,30,60,50,70,40,60,60,70,70,70
"1274","Republican","Some College","White",TRUE,"Male",30,0,50,0,70,0,85,0,50,50,50,10,30,60,50,0,40,40,50,50,50,60,100,60,60,60,40,30,40,50,0,50,50,30,60,60
"1275","Democrat","Graduate Degree","Native American",TRUE,"Female",60,40,60,15,85,15,70,60,85,70,50,40,70,70,100,50,70,85,85,70,100,100,70,85,70,85,0,70,NA,85,15,85,60,100,85,85
"1276","Independent","High School","White",TRUE,"Female",60,60,50,50,50,60,NA,50,60,50,40,30,50,60,50,50,50,85,50,40,50,85,0,50,60,50,NA,0,50,NA,40,NA,70,50,NA,50
"1277","Republican","Some College","White",FALSE,"Male",40,85,30,70,15,85,30,85,50,50,50,70,50,50,15,50,20,100,20,80,0,60,40,50,NA,NA,80,50,50,95,NA,NA,75,95,75,50
"1278","Republican","Bachelor's Degree","White",TRUE,"Male",15,60,30,85,15,85,70,60,50,15,40,70,85,100,60,15,85,70,70,100,50,100,15,NA,60,85,85,0,70,60,85,0,85,0,60,100
"1279","Democrat","High School","White",TRUE,"Female",85,0,100,0,70,60,100,70,70,85,70,60,60,100,100,85,100,100,100,100,100,100,0,60,100,100,100,50,80,100,80,NA,100,80,100,100
"1280","Democrat","Some College","White",FALSE,"Female",49,30,58,0,50,0,50,0,30,60,70,30,30,75,100,30,30,0,100,50,100,90,60,85,70,70,30,70,70,70,30,100,100,100,70,70
"1281","Independent","Some College","White",FALSE,"Male",0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282","Democrat","Less than High School","Other",TRUE,"Female",50,60,60,15,60,0,50,50,50,70,80,70,40,59,80,50,50,70,50,60,60,60,90,60,50,59,NA,50,NA,70,50,NA,NA,100,40,70
"1283","Republican","Bachelor's Degree","White",TRUE,"Male",20,60,20,65,25,40,60,80,50,35,30,60,55,65,50,15,60,80,80,80,50,75,20,10,60,35,50,10,75,40,60,50,70,30,35,60
"1284","Democrat","Bachelor's Degree","Asian",TRUE,"Male",85,0,100,0,85,0,100,50,85,50,60,50,50,70,50,70,40,60,60,70,50,85,70,60,70,70,0,70,50,85,50,50,70,50,85,85
"1285","Democrat","Bachelor's Degree","White",TRUE,"Female",85,0,85,0,100,0,100,30,100,100,75,20,15,50,100,50,100,75,100,50,100,100,100,100,100,100,0,70,80,90,0,100,100,100,100,90
"1286","Democrat","Bachelor's Degree","White",TRUE,"Female",85,50,70,0,85,0,100,30,70,60,60,70,40,60,60,40,70,60,60,85,60,100,50,70,85,85,0,70,70,100,40,NA,70,100,70,85
"1287","Republican","Some College","White",TRUE,"Female",15,85,15,70,0,90,60,50,50,15,50,70,90,50,50,40,50,90,60,90,50,90,15,40,50,70,50,30,NA,90,90,NA,70,90,50,80
"1288","Democrat","Some College","White",TRUE,"Female",60,10,60,0,80,0,85,20,85,100,70,20,40,50,100,60,100,100,100,60,100,100,100,40,NA,100,60,80,40,60,20,100,85,95,90,85
"1289","Democrat","Some College","White",TRUE,"Female",60,10,75,0,80,0,50,0,80,80,90,0,5,50,90,50,80,30,90,5,100,80,90,60,NA,60,0,70,10,10,0,80,55,90,80,80
"1290","Democrat","Bachelor's Degree","White",TRUE,"Male",70,0,95,0,80,0,85,0,60,80,50,40,10,50,60,15,50,50,50,50,50,85,60,60,60,80,0,50,50,60,10,60,50,75,60,40
"1291","Democrat","Graduate Degree","White",TRUE,"Female",40,30,40,0,70,0,100,30,70,60,40,15,30,60,85,30,60,60,85,70,85,100,85,85,50,100,0,60,70,60,40,85,85,100,85,100
"1292","Democrat",NA,"Black",TRUE,"Female",85,60,NA,NA,NA,NA,100,70,80,85,85,15,60,40,85,70,85,85,85,70,70,85,100,85,90,85,40,50,50,75,0,75,70,75,80,85
"1293","Democrat","Some College","White",TRUE,"Male",70,15,85,0,100,0,100,30,50,60,70,50,40,50,50,85,50,70,85,70,50,85,70,70,70,50,30,30,50,70,50,50,60,50,70,70
"1294","Democrat","Graduate Degree","White",TRUE,"Female",70,15,85,0,85,0,90,0,88,88,75,30,15,45,85,30,75,40,85,75,75,85,75,80,50,65,0,60,45,65,15,85,60,85,75,80
"1295","Democrat","Graduate Degree","White",TRUE,"Male",80,0,90,0,87,0,95,0,80,100,95,65,25,90,100,65,85,15,90,85,100,95,85,90,80,90,0,80,50,85,10,70,45,85,NA,100
"1296","Independent","Some College","White",FALSE,"Male",15,15,15,15,50,50,60,50,40,70,70,30,40,50,70,40,50,50,50,50,70,85,70,70,60,70,60,85,30,40,70,NA,70,70,15,30
"1297","Democrat","Graduate Degree","White",TRUE,"Female",31,30,61,7,62,5,96,20,100,70,71,14,36,98,100,84,98,34,100,41,100,97,100,94,17,74,3,76,19,84,1,100,99,96,87,81
"1298","Democrat","Some College","White",TRUE,"Female",15,50,40,40,60,15,85,60,70,50,70,40,60,60,60,40,40,100,85,85,70,85,85,40,60,60,50,50,0,70,60,60,85,40,60,70
"1299","Republican","High School","White",TRUE,"Male",0,60,15,100,NA,100,50,85,50,0,50,50,100,60,50,0,50,100,100,100,50,50,0,0,50,0,100,NA,100,0,100,0,100,0,0,15
"1300","Democrat","Some College","White",TRUE,"Female",65,0,60,0,70,0,96,40,65,50,85,0,25,50,100,50,100,25,100,70,85,100,86,80,NA,100,50,85,15,85,35,70,50,100,95,100
"1301","Democrat","High School","Hispanic",FALSE,"Male",50,50,60,0,85,0,50,50,50,85,60,70,40,60,50,70,60,50,50,0,50,100,100,50,70,40,40,60,80,100,0,0,0,80,80,NA
"1302","Democrat","High School","White",TRUE,"Female",100,15,15,85,15,100,0,50,50,50,85,40,50,50,85,50,50,85,60,100,85,70,85,50,50,50,85,50,50,100,50,50,70,70,50,85
"1303","Republican","Some College","White",TRUE,"Female",0,100,0,100,30,100,50,85,40,30,70,50,100,85,50,60,50,100,100,100,50,60,0,15,50,85,100,0,85,70,60,60,100,0,70,70
"1304","Democrat","High School","Black",TRUE,"Male",90,0,100,0,85,0,70,50,60,50,60,60,40,70,80,60,85,80,50,30,80,70,90,70,50,60,50,50,50,NA,50,50,50,85,50,80
"1305","Republican","High School","Hispanic",FALSE,"Male",0,60,0,100,0,100,0,50,40,0,15,50,100,40,50,0,0,50,50,100,50,60,0,0,50,30,100,0,100,50,100,0,100,0,0,70
"1306","Democrat","Graduate Degree","White",TRUE,"Male",80,15,87,0,70,0,70,30,60,70,70,30,30,60,65,NA,50,70,60,50,50,70,50,70,40,40,5,50,30,60,40,40,60,50,60,60
"1307","Democrat","High School","White",TRUE,"Female",85,0,85,0,85,0,85,0,85,100,70,30,30,70,85,60,70,40,70,60,85,85,85,85,50,70,15,70,40,70,30,85,85,85,85,85
"1308","Democrat","Graduate Degree","White",TRUE,"Male",70,0,85,0,85,0,100,0,90,100,100,10,0,40,100,50,85,30,90,60,95,100,95,90,90,85,0,40,5,95,10,90,30,100,90,95
"1309","Republican","High School","White",TRUE,"Female",0,70,0,70,0,85,0,50,50,50,50,50,50,85,50,60,50,50,50,85,50,50,0,15,50,50,50,50,50,50,50,50,50,0,50,0
"1310","Republican","Some College","White",TRUE,"Female",0,85,0,100,NA,70,0,NA,NA,NA,NA,NA,NA,50,50,50,NA,100,NA,85,50,NA,NA,50,NA,50,70,NA,NA,50,NA,NA,86,50,NA,0
"1311","Independent","Some College","White",TRUE,"Female",30,85,40,85,30,85,50,60,50,40,70,40,70,60,70,50,40,60,85,85,50,85,0,50,50,40,85,0,70,60,70,30,85,0,15,50
"1312","Democrat","Graduate Degree","White",TRUE,"Male",10,0,60,0,70,0,100,30,85,60,85,30,40,75,100,30,100,60,85,10,100,100,100,100,85,70,0,90,30,0,0,60,100,100,100,100
"1313","Republican","Less than High School","White",TRUE,"Male",0,85,40,100,40,85,40,70,60,30,50,50,85,70,85,30,70,100,85,100,70,70,50,30,50,50,70,30,50,40,70,60,100,30,50,70
"1314","Democrat","Some College","White",TRUE,"Male",85,0,85,0,85,0,85,50,85,100,85,30,0,70,100,60,60,100,85,50,100,100,100,60,50,85,0,85,30,85,40,100,85,100,85,100
"1315","Democrat","Some College","White",TRUE,"Female",70,15,60,0,60,0,50,10,90,80,100,25,20,70,100,40,50,25,50,15,85,100,90,70,80,65,0,80,0,40,0,100,50,100,85,80
